               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10991,            0.037238,                   0,                   0,                   0,                   0,                   0,              0.1078,             0.02794,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.10861,             0.03505,                   0,                   0,                   0,                   0,                   0,              0.1017,            0.025744,                   0,            0.086485,           0.0014851,           0.0014851
                   2,             0.12266,            0.037125,                   0,           0.0016667,                 0.1,           0.0093947,          0.00093947,            0.092971,            0.024194,                   0,            0.079254,           0.0022545,           0.0022545
                   3,             0.10128,            0.037236,                   0,           0.0016667,                 0.1,           0.0017798,          0.00035597,            0.083387,            0.023216,                   0,            0.072008,           0.0030079,           0.0030079
                   4,             0.08723,            0.036022,                   0,           0.0033333,                 0.3,           0.0088222,           0.0018052,            0.081351,            0.022512,                   0,            0.064746,           0.0037456,           0.0037456
                   5,            0.074069,            0.037247,                   0,            0.020659,                 0.2,            0.035314,            0.014511,            0.077739,            0.021607,                   0,            0.057467,           0.0044673,           0.0044673
                   6,            0.092301,             0.04215,                   0,              0.0858,                 0.2,            0.041179,           0.0077025,            0.072655,            0.021183,                   0,            0.050173,           0.0051733,           0.0051733
                   7,            0.086321,            0.036537,                   0,            0.071438,                 0.2,             0.11976,            0.021236,            0.070472,            0.019703,                   0,            0.042863,           0.0058634,           0.0058634
                   8,            0.076661,            0.039566,                   0,             0.12316,                 0.3,             0.14793,            0.036496,            0.072851,            0.018156,                   0,            0.035538,           0.0065377,           0.0065377
                   9,            0.078063,            0.037015,                   0,             0.12316,                 0.3,             0.14793,            0.036496,            0.072851,            0.018156,                   0,            0.028196,           0.0071961,           0.0071961
                  10,            0.077467,            0.040005,                   0,              0.1862,                 0.3,             0.19567,            0.059118,             0.06933,            0.016711,                   0,            0.020839,           0.0078387,           0.0078387
                  11,            0.079069,            0.041115,                   0,              0.1862,                 0.3,             0.19567,            0.059118,             0.06933,            0.016711,                   0,            0.013465,           0.0084655,           0.0084655
                  12,            0.068201,            0.031588,                   0,            0.042344,                 0.4,            0.044614,            0.017191,            0.070917,            0.015906,                   0,            0.008812,            0.008812,            0.008812
                  13,            0.065938,            0.033244,                   0,            0.042344,                 0.4,            0.044614,            0.017191,            0.070917,            0.015906,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.069125,            0.032842,                   0,              0.4215,                 0.4,             0.33187,              0.1068,            0.065426,            0.014622,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.075248,            0.032662,                   0,             0.37504,                 0.5,             0.31344,            0.090472,            0.065426,            0.014622,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.071285,             0.03217,                   0,             0.30569,                 0.4,             0.29219,             0.11005,            0.061465,            0.014379,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.070352,            0.029567,                   0,             0.30569,                 0.4,             0.29219,             0.11005,            0.061465,            0.014379,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.072503,            0.029619,                   0,             0.45622,                 0.3,             0.24365,            0.058992,            0.069418,            0.012781,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.071723,            0.029302,                   0,             0.45622,                 0.3,             0.24365,            0.058992,            0.069418,            0.012781,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.067822,            0.029602,                   0,             0.41112,                 0.7,             0.32637,             0.15536,            0.056714,            0.012386,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.063677,            0.031948,                   0,             0.41112,                 0.7,             0.32637,             0.15536,            0.056714,            0.012386,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.068941,            0.032325,                   0,             0.31874,                 0.6,             0.30913,             0.10764,            0.057766,            0.011364,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.067072,            0.032929,                   0,             0.31874,                 0.6,             0.30913,             0.10764,            0.057766,            0.011364,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.064622,            0.028225,                   0,             0.26437,             0.50329,             0.34204,             0.17404,            0.053551,            0.010782,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.062563,            0.027399,                   0,             0.26437,             0.50329,             0.34204,             0.17404,            0.053551,            0.010782,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.054063,            0.028311,                   0,             0.49437,                 0.3,             0.31009,                0.14,            0.062757,             0.01004,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.06242,            0.027714,                   0,             0.49437,                 0.3,             0.31009,                0.14,            0.062757,             0.01004,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.066081,            0.021986,                   0,             0.41935,                 0.6,             0.52757,             0.21445,            0.052815,           0.0090915,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.062524,             0.02958,                   0,             0.41935,                 0.6,             0.52757,             0.21445,            0.052815,           0.0090915,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.058828,            0.026222,                   0,             0.61056,                 0.5,             0.59666,             0.29868,            0.051624,            0.008297,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.059677,            0.029372,                   0,             0.61056,                 0.5,             0.59666,             0.29868,            0.051624,            0.008297,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.054382,            0.025124,                   0,             0.58743,             0.57173,             0.57931,             0.26047,             0.04379,             0.00822,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.050211,            0.026461,                   0,             0.58743,             0.57173,             0.57931,             0.26047,             0.04379,             0.00822,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.048131,            0.025736,                   0,             0.62406,                 0.5,             0.64498,             0.20643,            0.052371,           0.0073781,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.061624,            0.026343,                   0,             0.62406,                 0.5,             0.64498,             0.20643,            0.052371,           0.0073781,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.060204,            0.025061,                   0,             0.71285,                 0.6,             0.72106,             0.38748,            0.047506,           0.0072726,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.045254,            0.021418,                   0,             0.71285,                 0.6,             0.72106,             0.38748,            0.047506,           0.0072726,                   0,            0.006436,            0.006436,            0.006436
                  38,             0.05748,            0.025803,                   0,             0.74174,             0.57688,             0.65027,             0.33207,            0.044053,           0.0074353,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.050814,             0.02329,                   0,             0.74174,             0.57688,             0.65027,             0.33207,            0.044053,           0.0074353,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.049389,            0.023792,                   0,              0.6685,                 0.6,             0.63632,             0.36573,            0.043157,           0.0070719,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.049739,            0.021533,                   0,              0.6685,                 0.6,             0.63632,             0.36573,            0.043157,           0.0070719,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.042723,            0.019267,                   0,             0.74224,                 0.6,             0.58528,             0.34393,            0.047855,           0.0067027,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.045584,            0.021481,                   0,             0.74224,                 0.6,             0.58528,             0.34393,            0.047855,           0.0067027,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.052263,            0.019674,                   0,             0.56313,                 0.5,             0.52481,              0.2861,            0.044631,           0.0068223,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.046892,            0.022147,                   0,             0.56313,                 0.5,             0.52481,              0.2861,            0.044631,           0.0068223,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.051483,            0.020597,                   0,                   1,             0.58093,             0.71386,             0.47186,            0.040824,           0.0069426,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.040985,            0.024102,                   0,                   1,             0.58093,             0.71386,             0.47186,            0.040824,           0.0069426,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.048284,            0.020895,                   0,             0.66979,                 0.6,             0.66564,             0.35651,            0.039272,           0.0069645,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.047777,            0.027805,                   0,             0.66979,                 0.6,             0.66564,             0.35651,            0.039272,           0.0069645,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.049104,            0.024816,                   0,               0.757,                 0.6,               0.685,                0.39,            0.046188,           0.0067903,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.041862,            0.019039,                   0,               0.757,                 0.6,               0.685,                0.39,            0.046188,           0.0067903,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.045248,            0.024325,                   0,             0.74381,                 0.6,             0.70082,             0.40774,            0.038301,           0.0071883,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.042691,            0.024269,                   0,             0.74381,                 0.6,             0.70082,             0.40774,            0.038301,           0.0071883,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.041986,             0.02475,                   0,             0.76535,                 0.8,              0.7402,             0.44156,             0.03854,           0.0074408,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.032289,            0.022584,                   0,             0.76535,                 0.8,              0.7402,             0.44156,             0.03854,           0.0074408,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.03951,            0.018524,                   0,             0.77204,                 0.8,             0.76374,             0.42883,            0.036397,           0.0074836,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.046635,            0.024488,                   0,             0.77204,                 0.8,             0.76374,             0.42883,            0.036397,           0.0074836,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.040952,            0.023432,                   0,             0.75865,                 0.8,             0.77864,             0.48182,            0.040095,           0.0072816,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.038877,            0.021785,                   0,             0.75865,                 0.8,             0.77864,             0.48182,            0.040095,           0.0072816,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.039468,            0.023672,                   0,             0.76295,                 0.8,             0.77042,             0.47534,            0.037309,           0.0073409,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.040925,            0.022742,                   0,             0.76295,                 0.8,             0.77042,             0.47534,            0.037309,           0.0073409,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.037397,            0.020993,                   0,             0.84547,                 0.8,             0.80291,             0.48206,            0.036669,           0.0072324,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.033537,            0.023192,                   0,             0.84547,                 0.8,             0.80291,             0.48206,            0.036669,           0.0072324,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.04059,            0.020067,                   0,              0.8881,             0.79433,             0.82512,             0.52473,            0.035475,           0.0071809,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.028817,            0.017044,                   0,              0.8881,             0.79433,             0.82512,             0.52473,            0.035475,           0.0071809,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.036049,             0.02087,                   0,             0.85346,                 0.8,             0.84262,             0.45883,            0.036648,            0.007144,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.037003,            0.021992,                   0,             0.85346,                 0.8,             0.84262,             0.45883,            0.036648,            0.007144,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.034009,            0.021307,                   0,             0.88462,             0.76929,             0.81246,             0.47029,             0.03474,           0.0070708,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.042467,             0.01868,                   0,             0.88462,             0.76929,             0.81246,             0.47029,             0.03474,           0.0070708,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.03777,            0.021185,                   0,             0.95136,                 0.7,             0.85106,              0.5304,            0.038384,           0.0068466,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.03624,            0.021173,                   0,             0.95136,                 0.7,             0.85106,              0.5304,            0.038384,           0.0068466,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.039127,            0.023205,                   0,             0.96268,                 0.7,             0.87085,             0.51139,            0.031983,           0.0069115,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.036042,            0.020756,                   0,             0.96268,                 0.7,             0.87085,             0.51139,            0.031983,           0.0069115,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.030861,            0.021708,                   0,             0.95859,                 0.7,             0.88611,             0.60586,            0.033196,           0.0066577,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.031144,             0.02328,                   0,             0.95859,                 0.7,             0.88611,             0.60586,            0.033196,           0.0066577,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.032136,            0.022587,                   0,                   1,             0.76156,             0.90057,             0.59161,            0.030442,           0.0066527,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.038104,            0.023026,                   0,                   1,             0.76156,             0.90057,             0.59161,            0.030442,           0.0066527,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.030951,            0.023783,                   0,               0.931,                 0.8,                0.92,              0.6248,            0.032367,           0.0065293,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.029808,             0.01911,                   0,               0.931,                 0.8,                0.92,              0.6248,            0.032367,           0.0065293,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.029608,             0.01872,                   0,             0.94046,                 0.8,                0.92,             0.62522,            0.029914,           0.0064812,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.028883,            0.018001,                   0,             0.94046,                 0.8,                0.92,             0.62522,            0.029914,           0.0064812,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.036389,            0.023718,                   0,             0.95263,                 0.8,             0.92833,             0.63584,            0.030466,           0.0064845,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.030266,             0.01893,                   0,             0.95263,                 0.8,             0.92833,             0.63584,            0.030466,           0.0064845,                   0,            0.001882,            0.001882,            0.001882
                  84,              0.0275,            0.018059,                   0,             0.95328,                 0.8,             0.92179,             0.68048,            0.029759,           0.0064689,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.031024,            0.023499,                   0,             0.95328,                 0.8,             0.92179,             0.68048,            0.029759,           0.0064689,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.027453,            0.020546,                   0,             0.93442,                 0.8,             0.92833,             0.68309,            0.028559,           0.0063906,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.029426,            0.018455,                   0,             0.93442,                 0.8,             0.92833,             0.68309,            0.028559,           0.0063906,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.02877,            0.019695,                   0,             0.94238,                 0.8,             0.92179,             0.67766,            0.029056,           0.0064554,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.026711,            0.015876,                   0,             0.94238,                 0.8,             0.92179,             0.67766,            0.029056,           0.0064554,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.031864,            0.016989,                   0,             0.96481,                 0.8,                0.92,             0.67725,            0.027614,           0.0063385,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.029173,            0.020149,                   0,             0.96481,                 0.8,                0.92,             0.67725,            0.027614,           0.0063385,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.030965,            0.016282,                   0,             0.95557,                 0.8,                0.92,             0.63587,            0.027967,           0.0063845,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.02716,            0.019454,                   0,             0.95557,                 0.8,                0.92,             0.63587,            0.027967,           0.0063845,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.02846,            0.014878,                   0,              0.8789,                 0.8,             0.91265,             0.65063,             0.02683,           0.0063828,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.027756,            0.016868,                   0,              0.8789,                 0.8,             0.91265,             0.65063,             0.02683,           0.0063828,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.026843,            0.021761,                   0,             0.90711,                 0.8,              0.9309,             0.67628,            0.026439,           0.0063505,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.034022,            0.023086,                   0,             0.90711,                 0.8,              0.9309,             0.67628,            0.026439,           0.0063505,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.026473,            0.019399,                   0,             0.86947,                 0.8,             0.93786,             0.69971,            0.026394,           0.0062297,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.028284,            0.018425,                   0,             0.86947,                 0.8,             0.93786,             0.69971,            0.026394,           0.0062297,                   0,            0.000298,            0.000298,            0.000298
